,GISS-E2-2-G,HadGEM3-GC31-MM,CAMS-CSM1-0,CNRM-ESM2-1,FGOALS-g3,E3SM-1-0,CNRM-CM6-1,MRI-ESM2-0,MIROC6,CESM2-WACCM-FV2,MIROC-ES2L,ACCESS-CM2,AWI-CM-1-1-MR,CNRM-CM6-1-HR,CESM2-WACCM,BCC-ESM1,CESM2-FV2,NorCPM1,CanESM5,CMCC-CM2-SR5,BCC-CSM2-MR,MPI-ESM1-2-LR,SAM0-UNICON,MPI-ESM1-2-HR,ACCESS-ESM1-5,GISS-E2-1-G,HadGEM3-GC31-LL,GISS-E2-1-H
f1,7.2970120992958405,3.811773797288737,6.263821009291975,-1.0409562119782503,0.40318969943958416,3.702927197249648,0.5909979131760427,2.197774084553461,3.7618507024414933,3.1650173002171353,0.3505630810465482,-0.7985621740910249,4.296764415546076,4.610820045548988,0.03344521406548976,2.0737672064827173,1.999632462963594,2.410172609593987,2.064645937192866,3.827350429688493,0.821188938860716,3.3280416186969655,6.424653243043203,1.7084380105978265,4.829739988656368,2.4412006010925036,1.2020606821917348,4.231434964587937
f2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f3,-0.0930803136735603,0.13631827090641838,0.002353283279591668,0.4294853465612474,0.42200529750164467,0.11748194704396007,0.46517922081754115,0.16124047513536194,0.23067773995614946,0.13220144191509703,0.5255082428053411,0.5152750655892466,0.11690776800820324,0.11029434529642543,0.4683422734052665,0.17130449149759666,0.2775813256127725,0.2642680272792726,0.2566765968507764,0.17772755218465397,0.40848503385304846,0.31611192826204204,-0.0386015777922937,0.36962138270713524,0.00086009675597358,0.3405959740803637,0.34344632741284525,0.10722920278830696
