"","x"
"1",1.85114532944556
"2",6.49957991870279
"3",16.4669929129477
"4",91.5025132827321
"5",1.13259644222231
"6",2.41630581358866
"7",1.21249782676176
"8",1.58478834461188
"9",0.493366420894289
"10",0.570509245759092
"11",7.79473265423977
